rank,score,camera,captured_at,path,confidence,area_fraction,clipped,sharpness,visit_frames,visit_start,visit_end
1,0.963,wildlifecam4,2026-08-24T10:34:03.035342,wildlifecam4/2026-08-24/103403.jpg,0.968,0.1960,0,622.7,74,2026-08-24T10:33:07.479319,2026-08-24T10:35:43.672455
2,0.876,wildlifecam4,2026-08-24T10:39:25.424385,wildlifecam4/2026-08-24/103925.jpg,0.966,0.1419,0,567.7,58,2026-08-24T10:38:12.720626,2026-08-24T10:41:10.276641
3,0.786,wildlifecam4,2026-08-24T09:47:43.814434,wildlifecam4/2026-08-24/094743.jpg,0.965,0.0823,0,510.1,42,2026-08-24T09:46:54.565724,2026-08-24T09:48:26.577005
4,0.786,wildlifecam4,2026-08-26T14:25:14.363752,wildlifecam4/2026-08-26/142514.jpg,0.953,0.0340,0,807.1,3,2026-08-26T14:25:05.547024,2026-08-26T14:25:14.363752
5,0.778,wildlifecam4,2026-08-24T10:44:20.052457,wildlifecam4/2026-08-24/104420.jpg,0.975,0.1379,0,499.5,5,2026-08-24T10:44:13.643407,2026-08-24T10:44:22.199533
6,0.556,wildlifecam4,2026-08-26T07:01:58.061602,wildlifecam4/2026-08-26/070158.jpg,0.966,0.0781,0,360.5,25,2026-08-26T07:01:24.348045,2026-08-26T07:02:17.439712
7,0.530,wildlifecam4,2026-08-27T06:47:05.643333,wildlifecam4/2026-08-27/064705.jpg,0.960,0.1456,0,345.5,12,2026-08-27T06:45:58.742360,2026-08-27T06:47:18.397279
8,0.518,wildlifecam1,2026-08-13T11:20:31,wildlifecam1/2026-08-13/112031.jpg,0.863,0.1809,1,645.9,4,2026-08-13T11:20:13,2026-08-13T11:20:33
9,0.513,wildlifecam1,2026-08-13T11:17:01,wildlifecam1/2026-08-13/111701.jpg,0.904,0.1330,1,591.8,46,2026-08-13T11:13:38,2026-08-13T11:19:07
10,0.414,wildlifecam4,2026-08-31T07:09:04.662830,wildlifecam4/2026-08-31/070904.jpg,0.944,0.0117,0,568.6,12,2026-08-31T07:07:57.898863,2026-08-31T07:09:06.785669
11,0.393,wildlifecam4,2026-08-26T14:20:38.947503,wildlifecam4/2026-08-26/142038.jpg,0.934,0.0097,0,596.8,2,2026-08-26T14:20:36.798255,2026-08-26T14:20:38.947503
12,0.380,wildlifecam4,2026-08-29T06:51:53.704486,wildlifecam4/2026-08-29/065153.jpg,0.961,0.0158,0,440.1,14,2026-08-29T06:50:53.235322,2026-08-29T06:52:26.677361
13,0.356,wildlifecam10,2026-09-05T06:58:29.011956,wildlifecam10/2026-09-05/065829.jpg,0.944,0.0071,0,688.4,6,2026-09-05T06:58:27.007538,2026-09-05T06:58:37.127639
14,0.355,wildlifecam4,2026-09-08T06:54:50.318492,wildlifecam4/2026-09-08/065450.jpg,0.956,0.0069,0,632.8,27,2026-09-08T06:54:41.767787,2026-09-08T06:56:54.298720
15,0.355,wildlifecam4,2026-09-10T07:21:15.599282,wildlifecam4/2026-09-10/072115.jpg,0.937,0.0098,0,534.8,7,2026-09-10T07:20:53.233749,2026-09-10T07:21:22.034616
16,0.354,wildlifecam4,2026-09-11T18:00:06.760680,wildlifecam4/2026-09-11/180006.jpg,0.950,0.0070,0,645.8,10,2026-09-11T17:59:58.147989,2026-09-11T18:00:17.492127
17,0.340,wildlifecam4,2026-09-10T07:11:03.495117,wildlifecam4/2026-09-10/071103.jpg,0.943,0.0152,0,409.0,16,2026-09-10T07:08:53.623095,2026-09-10T07:11:07.764277
18,0.336,wildlifecam4,2026-09-07T07:01:47.295496,wildlifecam4/2026-09-07/070147.jpg,0.910,0.0068,0,662.1,17,2026-09-07T07:01:45.126681,2026-09-07T07:03:17.760090
19,0.333,wildlifecam4,2026-09-04T12:16:56.818287,wildlifecam4/2026-09-04/121656.jpg,0.931,0.0064,0,670.0,10,2026-09-04T12:16:43.891619,2026-09-04T12:17:05.452259
20,0.332,wildlifecam10,2026-09-07T07:01:55.147641,wildlifecam10/2026-09-07/070155.jpg,0.958,0.0060,0,704.7,18,2026-09-07T07:01:53.111456,2026-09-07T07:03:30.726401
